sample_id,signer_id,label,take_id,relative_path,source_group,file_size_bytes,split
P1_gde_0001_ace8221a2d2a,P1,gde,1,_gde/P1_gde (1).mov,_gde,36598,test
P1_gde_0010_0156440b2146,P1,gde,10,_gde/P1_gde (10).mov,_gde,31816,test
P1_gde_0100_019228d0318e,P1,gde,100,_gde/P1_gde (100).mov,_gde,36598,test
P1_gde_0011_a4aaecca6562,P1,gde,11,_gde/P1_gde (11).mov,_gde,31816,test
P1_gde_0012_1c73809a881d,P1,gde,12,_gde/P1_gde (12).mov,_gde,31816,test
P1_gde_0013_7dd204d02a91,P1,gde,13,_gde/P1_gde (13).mov,_gde,31816,test
P1_gde_0014_f7f19aeab7c4,P1,gde,14,_gde/P1_gde (14).mov,_gde,31816,test
P1_gde_0015_b3f5f4211d0d,P1,gde,15,_gde/P1_gde (15).mov,_gde,31816,test
P1_gde_0016_c2e95ec253c6,P1,gde,16,_gde/P1_gde (16).mov,_gde,31816,test
P1_gde_0017_241274df53cc,P1,gde,17,_gde/P1_gde (17).mov,_gde,31816,test
P1_gde_0018_f96be977e191,P1,gde,18,_gde/P1_gde (18).mov,_gde,31816,test
P1_gde_0019_134e5a4fde91,P1,gde,19,_gde/P1_gde (19).mov,_gde,71422,test
P1_gde_0002_ec87808e7946,P1,gde,2,_gde/P1_gde (2).mov,_gde,36598,test
P1_gde_0020_19365947cdd9,P1,gde,20,_gde/P1_gde (20).mov,_gde,71422,test
P1_gde_0021_ee2a488ca71b,P1,gde,21,_gde/P1_gde (21).mov,_gde,71422,test
P1_gde_0022_f7c293030cb3,P1,gde,22,_gde/P1_gde (22).mov,_gde,71422,test
P1_gde_0023_a79331c0689e,P1,gde,23,_gde/P1_gde (23).mov,_gde,71422,test
P1_gde_0024_edd8bbd278b1,P1,gde,24,_gde/P1_gde (24).mov,_gde,71422,test
P1_gde_0025_08b5077dd225,P1,gde,25,_gde/P1_gde (25).mov,_gde,71422,test
P1_gde_0026_7584b73ad647,P1,gde,26,_gde/P1_gde (26).mov,_gde,71422,test
P1_gde_0027_b7ad1c6435f5,P1,gde,27,_gde/P1_gde (27).mov,_gde,71422,test
P1_gde_0028_1a66c4091ebe,P1,gde,28,_gde/P1_gde (28).mov,_gde,71422,test
P1_gde_0029_67b481aa0d00,P1,gde,29,_gde/P1_gde (29).mov,_gde,71422,test
P1_gde_0003_98ac362ededc,P1,gde,3,_gde/P1_gde (3).mov,_gde,36598,test
P1_gde_0030_ea130eedf58d,P1,gde,30,_gde/P1_gde (30).mov,_gde,71422,test
P1_gde_0031_acf4c3b9515c,P1,gde,31,_gde/P1_gde (31).mov,_gde,71422,test
P1_gde_0032_861113a0902f,P1,gde,32,_gde/P1_gde (32).mov,_gde,57391,test
P1_gde_0033_28d1a33990f8,P1,gde,33,_gde/P1_gde (33).mov,_gde,57391,test
P1_gde_0034_867c4cb6d400,P1,gde,34,_gde/P1_gde (34).mov,_gde,57391,test
P1_gde_0035_5216153b05a3,P1,gde,35,_gde/P1_gde (35).mov,_gde,57391,test
P1_gde_0036_c4dc385cfd5f,P1,gde,36,_gde/P1_gde (36).mov,_gde,57391,test
P1_gde_0037_111452a1ea22,P1,gde,37,_gde/P1_gde (37).mov,_gde,57391,test
P1_gde_0038_85ef43f5f781,P1,gde,38,_gde/P1_gde (38).mov,_gde,57391,test
P1_gde_0039_0181d3fbf48c,P1,gde,39,_gde/P1_gde (39).mov,_gde,57391,test
P1_gde_0004_7aa32398dcd8,P1,gde,4,_gde/P1_gde (4).mov,_gde,36598,test
P1_gde_0040_e9f7b1f1ee45,P1,gde,40,_gde/P1_gde (40).mov,_gde,57391,test
P1_gde_0041_7b56ef4d0e3f,P1,gde,41,_gde/P1_gde (41).mov,_gde,57391,test
P1_gde_0042_84b4ee7cc77f,P1,gde,42,_gde/P1_gde (42).mov,_gde,57391,test
P1_gde_0043_c314e258ba42,P1,gde,43,_gde/P1_gde (43).mov,_gde,57391,test
P1_gde_0044_fa57341181ba,P1,gde,44,_gde/P1_gde (44).mov,_gde,57391,test
P1_gde_0045_8afe98994b25,P1,gde,45,_gde/P1_gde (45).mov,_gde,57391,test
P1_gde_0046_26d99cb976c0,P1,gde,46,_gde/P1_gde (46).mov,_gde,107402,test
P1_gde_0047_1d6c7ffc79b6,P1,gde,47,_gde/P1_gde (47).mov,_gde,107402,test
P1_gde_0048_224885434f15,P1,gde,48,_gde/P1_gde (48).mov,_gde,107402,test
P1_gde_0049_2aae7785aafa,P1,gde,49,_gde/P1_gde (49).mov,_gde,107402,test
P1_gde_0005_553a474080b4,P1,gde,5,_gde/P1_gde (5).mov,_gde,36598,test
P1_gde_0050_196718b8fd5e,P1,gde,50,_gde/P1_gde (50).mov,_gde,107402,test
P1_gde_0051_8ddbe81e888a,P1,gde,51,_gde/P1_gde (51).mov,_gde,107402,test
P1_gde_0052_8237113cec37,P1,gde,52,_gde/P1_gde (52).mov,_gde,107402,test
P1_gde_0053_2e677ef2839c,P1,gde,53,_gde/P1_gde (53).mov,_gde,107402,test
P1_gde_0054_23ff0519bd15,P1,gde,54,_gde/P1_gde (54).mov,_gde,107402,test
P1_gde_0055_8e28d3773f29,P1,gde,55,_gde/P1_gde (55).mov,_gde,107402,test
P1_gde_0056_76c6998f7765,P1,gde,56,_gde/P1_gde (56).mov,_gde,107402,test
P1_gde_0057_61e9886da748,P1,gde,57,_gde/P1_gde (57).mov,_gde,107402,test
P1_gde_0058_c82ca9a98de8,P1,gde,58,_gde/P1_gde (58).mov,_gde,54499,test
P1_gde_0059_42da79b053aa,P1,gde,59,_gde/P1_gde (59).mov,_gde,54499,test
P1_gde_0006_98af25965fa3,P1,gde,6,_gde/P1_gde (6).mov,_gde,31816,test
P1_gde_0060_84b43141cab5,P1,gde,60,_gde/P1_gde (60).mov,_gde,54499,test
P1_gde_0061_9b4a134bc20c,P1,gde,61,_gde/P1_gde (61).mov,_gde,54499,test
P1_gde_0062_09d92dc1b0af,P1,gde,62,_gde/P1_gde (62).mov,_gde,54499,test
P1_gde_0063_729fa3c62141,P1,gde,63,_gde/P1_gde (63).mov,_gde,54499,test
P1_gde_0064_8839ef187a28,P1,gde,64,_gde/P1_gde (64).mov,_gde,54499,test
P1_gde_0065_a8383f76184e,P1,gde,65,_gde/P1_gde (65).mov,_gde,54499,test
P1_gde_0066_3db05f4b0bfa,P1,gde,66,_gde/P1_gde (66).mov,_gde,54499,test
P1_gde_0067_942796ef733f,P1,gde,67,_gde/P1_gde (67).mov,_gde,54499,test
P1_gde_0068_aaf498ab3f46,P1,gde,68,_gde/P1_gde (68).mov,_gde,54499,test
P1_gde_0069_11eb92531012,P1,gde,69,_gde/P1_gde (69).mov,_gde,54499,test
P1_gde_0007_21861cec2132,P1,gde,7,_gde/P1_gde (7).mov,_gde,31816,test
P1_gde_0070_77506078fca3,P1,gde,70,_gde/P1_gde (70).mov,_gde,54499,test
P1_gde_0071_acb2acf0ebe3,P1,gde,71,_gde/P1_gde (71).mov,_gde,95078,test
P1_gde_0072_f4e07d8ebc25,P1,gde,72,_gde/P1_gde (72).mov,_gde,95078,test
P1_gde_0073_3cc354f6022b,P1,gde,73,_gde/P1_gde (73).mov,_gde,95078,test
P1_gde_0074_49276c1ed01a,P1,gde,74,_gde/P1_gde (74).mov,_gde,95078,test
P1_gde_0075_5106e7a6eb4f,P1,gde,75,_gde/P1_gde (75).mov,_gde,95078,test
P1_gde_0076_b1e019cef944,P1,gde,76,_gde/P1_gde (76).mov,_gde,95078,test
P1_gde_0077_e2ad3bad63eb,P1,gde,77,_gde/P1_gde (77).mov,_gde,95078,test
P1_gde_0078_4e9367d461c7,P1,gde,78,_gde/P1_gde (78).mov,_gde,95078,test
P1_gde_0079_d720b66a6882,P1,gde,79,_gde/P1_gde (79).mov,_gde,52939,test
